ID (do not change),Electronic Methods,build-trust,efficient,educate,build-relationships,engage-under-represented,social-research-on-fishery,inform,solicit-input,involve,collaborate,empower
blogs,1.  Blogs,"Blogs can be an ideal means to quickly disseminate information in a conversational format that engenders trust, but their efficacy is largely dependent on the skill of the author (i.e., this strategy is not designed specifically with this goal in mind). ","As an easily distributed means of communication, blogs are an ideal strategy for reaching a large audience with minimal cost/effort. ","Since blogs can be written on virtually any subject, they can be used to inform stakeholders about the best way to participate in a fishery management process, although this would be a very specialized use of a blog. ","Since blogs do not provide a reliable means for two-way communication, (between stakeholders and fishery managers) they are not well suited for building relationships with key communicators. ","Most fisheries-related blogs have not been targeted to reaching underrepresented groups. However, blogs may be created in the future that are more culturally and linguistically tailored to these groups. ",Blogs are not typically targeted to research.,Blogs are an effective method for rapidly informing large fishery user groups. ,"The comment feature on most blogs provides a reasonable method of collecting input on a specific topic. However, because comment sections can quickly become adversarial based on the first comments of a blog post, this feature should be enabled with some caution. ",Blogs are not effective means of involving fisheries stakeholders in dialogic exchange around fisheries management topics.,Blogs are not an effective means of improving collaboration between stakeholders and managers.,Blogs are not an effective means of empowering stakeholders to participate in the decision-making process.
emails,2.  Informal Emails (individual emails to interested/concerned stakeholders),"Although this is not the primary goal of this strategy, creating an efficient, two-way dialogue can help build trust. ","Although this is not the primary goal of this strategy, emails are an efficient means of sharing and receiving information from stakeholders. ","Although this is not the primary goal of this strategy, creating an efficient, two-way dialogue can educate stakeholders about the management ",Emails will be somewhat effective in building relationships in one-on-one communications; they are ineffective when communicating with large groups.,Emails can be moderately effective reaching out to underrepresented groups so long as these groups are not characterized by significant linguistic diversity.,"Although emails can be used to disseminate other tools, emails alone are not an efficient way to conduct large-scale research into a fishery.",Emails (particularly in established listservs) are an excellent means of informing small and large groups of stakeholders. ,"Although this is not the primary goal of this strategy, emails are an efficient means of sharing and receiving information from stakeholders.","Email can be an effective method for exchanging information between managers and stakeholders, although it is typically not real time.",Emails are not an adequate strategy for ensuring collaboration between stakeholders and managers.,Emails are not an adequate strategy for empowering stakeholder involvement in the management process.
newsletters,3. Newsletters/Email Listservs,"Newsletters are designed to inform recipients, not to build trust between stakeholders and fisheries managers.",Newsletters can be quickly distributed to a wide audience to inform stakeholders about important events or management topics. ,This strategy can be used to effectively communicate information on how to participate in a fisheries management process. ,"Since newsletters are one-way communication, they are not effective at building relationships.",This strategy can be used to effectively communicate information on fisheries management processes to underrepresented groups. Care should be taken to ensure the newsletter is linguistically appropriate/translated into the correct language to ensure underrepresented groups are reached. ,Newsletters are not an effective tool for conducting research into fisheries.,This is the primary purpose of this strategy. ,Newsletters are not an effective tool for creating two-way dialogue or soliciting input into fishery management.,Newsletters are not intended for two-way communication.,Newsletters are not intended for two-way communication.,Newsletters are not intended as a decision making tool.
online-fishing-forums,4. Online Fishing Forums (proactive participation on informal message boards and blogs),"Generally online forums are not intended to build relationships or trust between fishery managers and the fishing community (in fact, participants often use them to rant), but they can be used to provide two-way dialogue if the fishery manager is a consistent participant. This can improve trust if relationships are already established. ","While many fisherman use online fishing forums, this tends to be a relatively limited and self-selected population.",Online forums could be used to educate stakeholders on the decision making process and how to get involved.,"Done well, this strategy could help build relationships by making fishery stakeholders feel heard and involved in ongoing discussions. However, due to the impersonal nature of the forums and the fact that many participants use them to rant about regulators, it will not be as effective as face-to-face meetings.","Historically, underrepresented groups do not participate in established online forums. If they are able to join though, forums can be used to reach out to these stakeholders. ",Online fishing forums are not an effective tool for researching a fishery.,Online forums are an excellent means of informing stakeholders on fisheries management issues. ,Online forums are not typically used to solicit official input (for processes like CEQA) but can be used to collect informal feedback on a management decision. ,"Done effectively, online forums can be used to create dialogue between fishery stakeholders and managers.",Online fishing forums are not an effective strategy for creating collaborations between stakeholders and managers.,Online fishing forums are not an effective tool for empowering stakeholders.
phone-apps,5.  Phone Applications,Phone applications provide a means for one-way communication (from stakeholder to fishery manager or vice versa) on set topics. This type of information gathering and sharing is useful but it is not relational and does not create conditions to build trust. ,Phone applications provide a low-cost means to gather input or share information on set topics with a large stakeholder base with minimal effort once the application is developed. ,Phone applications are only used to gather input on topic-specific questions or share limited information; they are typically not used to educate stakeholders on how to participate in a management decision process. ,The lack of face-to-face communication does not create the conditions needed to build relationships with key communicators.  ,"Phone applications typically do not create the conditions needed to engage economically, culturally, or linguistically diverse groups of stakeholders. The one caveat is if translation services are available to create the application in such a way that it is linguistically and/or culturally appropriate to reach out to different ethnic communities. ",Phone applications are an ideal means of collecting social or scientific information from a wide user base in a particular fishery. ,Phone applications are extremely efficient for quickly disseminating information to a large fishery user base. ,"Phone applications can be used to solicit input, although this is usually focused on very specific topics; they would not be appropriate for soliciting input on more complex or comprehensive management alternatives. ",Phone applications are not designed to elicit two-way dialogue with stakeholders.,Phone applications are not an effective means of ensuring collaboration.,Phone applications are not an effective means of empowering stakeholders in the decision-making process.
polling,6.  Polling,Polling is used solely to collect information on fisheries management issues; it is not intended to build trust or relationships. ,"Although mobile polling is an effective and highly efficient way to solicit input from a broad audience with minimal time or resource impacts, it does not ñengageî stakeholders in a traditional sense. ",Polling is used only to solicit input. ,Polling is used solely to collect information on fisheries management issues; it is not intended to build trust or relationships.,Mobile polling does not directly or necessarily engage underrepresented groups.,Supporting research is the primary goal of polling. ,Mobile polling is not designed to inform stakeholders.,Polling is used to solicit information from stakeholders on specific issues to inform decision making.,Mobile polling is not an effective strategy for involving stakeholders in the fishery management process.,Mobile polling is not an effective tool for increasing collaboration with stakeholders.,Mobile polling is not an effective means of empowering stakeholders.
press-releases,7.  Press Releases,This is not a goal of press releases.,"This strategy is designed specifically to inform a broad audience in a low cost, efficient manner. ","Press releases can be used specifically to educate stakeholders about how to participate in the management process. However, it is very difficult to ensure you are reaching all stakeholders.",Press releases are not designed to build relationships with stakeholders.,Press releases are not an effective way to engage underrepresented groups.,Press releases do not support fishery research.,"This strategy is designed specifically to inform a broad audience in a low cost, efficient manner.",Press releases are one-way communication and do not solicit input from stakeholders.,Press releases are one-way communication and do not involve stakeholders in the fishery management process.,Press releases are not an effective tool for improving collaboration with stakeholders.,Press releases are not an effective tool for empowering stakeholders.
social-media,"8.  Social Media (e.g., Facebook, Twitter, Instagram, Flickr, Youtube)","Social media does not generate opportunities to build trust; it often occurs within closed networks of individuals with similar views, and can potentially reinforce negative perceptions of a fisheries management issue if improperly utilized. ",Social media is one of the fastest and least resource intensive means of communication and outreach available. It provides the capacity to leverage an initial communication so that it reaches many more people.,This strategy can be an effective means of providing information on how to participate in a fisheries management process because it can be used to reach a broad audience. ,"Social media can be used to reach a broad audience and make connections with stakeholders that are not involved in the traditional management process. Due to the impersonal nature of much social media, it may not be effective at building intimate relationships, but it can form new relationships amongst managers and stakeholders ","Because the most popular social media sites (Facebook, Twitter, Instagram, etc.) are free, extremely widely used, and open to the general public, this strategy is an effective means to reach out to underrepresented groups. ",Social media is not designed to support research on a fishery.,"Social media, particularly Twitter and Facebook, is increasingly used as an effective and efficient means of quickly sharing large amounts of information with a diverse group of stakeholders. ",This strategy is an efficient means of soliciting input on a wide range of topics from a diverse set of stakeholders at low/no cost.  Social media tends to be more effective at informing stakeholders than at ensuring that effective and topically-relevant input is received in response.,"Used effectively, social media can be used to create dialogue with stakeholders and interested parties. However, if social media is simply used to post photos and updates rather than engage, it will not be effective for this goal. ","While social media can be effective means by which participants in a collaborative process stay connected with their broader constituents to help ensure that their views are brought in to the process, current trends to not show it as a preferred tool for collaborating due to risks of having peoples posts be shared without control.",Empowerment is defined by sharing decision-making authority; social media is not an effective strategy for this goal. 
surveys,9.  Surveys ,"While surveys may engender good will because stakeholders are being asked to share their views, building trust is not their main purpose.","Surveys are an efficient, low cost of means of reaching out to large stakeholder audience in a short amount of time. ",Surveys are primarily used to solicit information rather than share it.,"While surveys may engender good will because stakeholders are being asked to share their views, building relationships is not their main purpose.",Surveys could be a good way of connecting with underrepresented groups since they could be used to find out what is important to them (assuming you can find them). ,"Similar to polling, this is the primary function of surveys. They are primarily a data collection tool. ","Surveys are traditionally designed to collect information, rather than provide it.",Surveys can be used to solicit information from stakeholders on specific issues to inform decision-making.,Surveys do not involve dialogue.,Surveys are not collaborative tools.,Surveys are not designed to empower stakeholders.
webinar-meetings,10.  Webinar meetings,"Webinars are more effective at building trust where an existing base of trust exists rather than developing initial trust. Additionally, the efficacy of webinars at building trust is dependent on the skill of the facilitator. Properly executed webinars can provide ample opportunity for stakeholder input to help build trust; improperly run webinars can cause significant frustration and damage trust. ",Web meetings are generally a low cost way to reach out to stakeholder groups of varying sizes. They can be used to solicit specific input from a small group of individuals or scaled up to present information to hundreds of stakeholders at once. ,"Webinars may be used to educate stakeholders on the best way to participate in fisheries management processes, although webinars may be used for many other purposes. ",Webinars are more effective at building relationships where an existing relationships already exists rather than building relationships for the first time.,"Publicly announced webinars are available to large audiences. They are easy to attend by underrepresented groups, provided that these groups are informed of the webinar and accommodations are made to address a potentially diverse audience.","Some webinar platforms allow the opportunity to incorporate mobile polling, which can be useful to support research efforts. ",Webinars are an ideal means of sharing information with a wide audience in an efficient manner. ,"Depending on how the web meeting is designed, this strategy can be an effective means of soliciting input from a diverse set of stakeholders, although it can be challenging to maintain the attention of participants over the course of a longer webinar.","Depending on how the web meeting is designed, this strategy can be an effective means of encouraging dialogue and exchange between managers and stakeholders, although it can be challenging to maintain the attention of participants over the course of a longer webinar.",Webinars are most effective in collaborative processes as alternative to an in-person meeting if the collaborators have already built up some level of relationship and trust.,"If a co-management regime or collaborative fisheries research program is in place, webinars can be effective tools to support efforts where participants are remote, especially if the participants have already built up some level of relationship and trust."
